"Time","values"
2023-12-20 10:10:30,45.30 ms
2023-12-20 10:11:00,42.63 ms
2023-12-20 10:11:30,51.79 ms
2023-12-20 10:12:00,45.46 ms
2023-12-20 10:12:30,47.21 ms
2023-12-20 10:13:00,43.77 ms
2023-12-20 10:13:30,47.44 ms
2023-12-20 10:14:00,49.13 ms
2023-12-20 10:14:30,53.51 ms
2023-12-20 10:15:00,49.26 ms
2023-12-20 10:15:30,48.60 ms
2023-12-20 10:16:00,51.81 ms
2023-12-20 10:16:30,54.11 ms
2023-12-20 10:17:00,61.62 ms
2023-12-20 10:17:30,58.65 ms
2023-12-20 10:18:00,56.31 ms
2023-12-20 10:18:30,68.16 ms
2023-12-20 10:19:00,68.23 ms
2023-12-20 10:19:30,64.00 ms
2023-12-20 10:20:00,68.39 ms
2023-12-20 10:20:30,60.71 ms
2023-12-20 10:21:00,71.71 ms
2023-12-20 10:21:30,61.87 ms
2023-12-20 10:22:00,73.68 ms
2023-12-20 10:22:30,61.04 ms
2023-12-20 10:23:00,84.76 ms
2023-12-20 10:23:30,86.63 ms
2023-12-20 10:24:00,75.20 ms
2023-12-20 10:24:30,87.10 ms
2023-12-20 10:25:00,87.11 ms
2023-12-20 10:25:30,71.44 ms
2023-12-20 10:26:00,72.55 ms
2023-12-20 10:26:30,91.58 ms
2023-12-20 10:27:00,94.51 ms
2023-12-20 10:27:30,90.97 ms
2023-12-20 10:28:00,77.41 ms
2023-12-20 10:28:30,90.58 ms
2023-12-20 10:29:00,88.56 ms
2023-12-20 10:29:30,105.11 ms
2023-12-20 10:30:00,100.21 ms
2023-12-20 10:30:30,105.55 ms
2023-12-20 10:31:00,105.44 ms
2023-12-20 10:31:30,98.22 ms
2023-12-20 10:32:00,111.71 ms
2023-12-20 10:32:30,143.62 ms
2023-12-20 10:33:00,121.60 ms
2023-12-20 10:33:30,112.87 ms
2023-12-20 10:34:00,127.17 ms
2023-12-20 10:34:30,117.76 ms
2023-12-20 10:35:00,135.32 ms
2023-12-20 10:35:30,149.17 ms
2023-12-20 10:36:00,111.99 ms
2023-12-20 10:36:30,113.12 ms
2023-12-20 10:37:00,139.85 ms
2023-12-20 10:37:30,137.99 ms
2023-12-20 10:38:00,133.94 ms
2023-12-20 10:38:30,132.58 ms
2023-12-20 10:39:00,140.87 ms
2023-12-20 10:39:30,133.08 ms
2023-12-20 10:40:00,114.64 ms
2023-12-20 10:40:30,118.39 ms
2023-12-20 10:41:00,126.79 ms
2023-12-20 10:41:30,125.26 ms
2023-12-20 10:42:00,141.66 ms
2023-12-20 10:42:30,113.34 ms
2023-12-20 10:43:00,105.18 ms
2023-12-20 10:43:30,134.71 ms
